client_id2,Region,Gender,Race,Ethnicty,comp_score,top20,weights,sim_fp
bd4,R05,Female,White,Non-Hispanic,12,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
2c8,R05,Male,Black,Non-Hispanic,11.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
cd5,R07,Male,White,Non-Hispanic,9,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
d50,R05,Male,White,Non-Hispanic,9,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
08a,R05,Female,White,Hispanic,8.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
b5a,R07,Male,White,Non-Hispanic,8.25,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
084,R05,Male,White,Non-Hispanic,8,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
6cd,R05,Male,Black,Non-Hispanic,8,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
c67,R07,Male,Black,Non-Hispanic,8,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
f67,R05,Female,White,Non-Hispanic,7.75,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
5d0,R05,Male,White,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
791,R05,Male,White,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
87f,R05,Male,Black,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
f68,R07,Male,Black,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
14e,R05,Female,Asian,Non-Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
357,R07,Male,White,Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
b60,R05,Male,Black,Non-Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
c30,R05,Male,Asian,Non-Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
93b,R05,Male,White,Non-Hispanic,6.75,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
39b,R05,Male,White,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
456,R05,Male,Indigenous,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
4a2,R05,Male,White,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
773,R05,Male,Black,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
ef1,R05,Male,White,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
018,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
249,R05,Female,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
342,R07,Female,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
410,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
4ed,R05,Male,Black,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
677,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
68e,R05,Female,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
94e,R05,Male,Black,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
b53,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
efc,R07,Female,Black,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
17a,R05,Female,White,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
3fa,R07,Male,Black,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
480,R05,Male,White,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
aac,R07,Female,Black,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
f7a,R05,Female,Black,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
9f5,R05,Male,White,Non-Hispanic,5.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
b35,R07,Female,Multiple Races,Non-Hispanic,5.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
0f8,R05,Male,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
60f,R05,Male,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
6b7,R05,Female,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
794,R05,Female,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
8d5,R07,Male,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
ab2,R05,Male,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
c72,R05,Male,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
d6b,R05,Male,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
dbb,R05,Female,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
e17,R05,Female,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
331,R05,Male,Black,Non-Hispanic,4.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
763,R05,Female,White,Non-Hispanic,4.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
b16,R07,Male,White,Non-Hispanic,4.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
16b,R05,Female,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
307,R05,Female,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
687,R05,Male,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
93d,R05,Female,White,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
a0b,R05,Male,White,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
e16,R05,Male,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
332,R07,Male,Black,Non-Hispanic,4.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
065,R07,Male,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
3dc,R05,Female,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
645,R05,Female,Black,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
7ef,R05,Female,Black,Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
92f,R05,Male,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
edd,R07,Female,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
8de,R05,Male,Black,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
a9b,R05,Male,White,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
cda,R05,Male,White,Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
e4a,R05,Male,White,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
ecb,R05,Male,White,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
1f2,R07,Male,White,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
257,R05,Male,White,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
6fc,R05,Female,Indigenous,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
760,R05,Female,White,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
554,R07,Female,White,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
5b3,R05,Male,White,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
850,R05,Male,Black,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
924,R05,Male,White,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
eae,R05,Female,White,Non-Hispanic,2.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
1e0,R05,Female,Asian,Non-Hispanic,2.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
e3c,R05,Female,Black,Non-Hispanic,2.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
c07,R05,Male,White,Non-Hispanic,2.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
498,R05,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
52e,R05,Female,White,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
574,R07,Female,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
8c8,R05,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
969,R07,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
ca5,R05,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
48f,R05,Male,White,Non-Hispanic,1.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
502,R05,Female,Black,Non-Hispanic,1.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
6bb,R07,Male,Black,Non-Hispanic,1.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
fc3,R05,Female,White,Non-Hispanic,1.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
734,R05,Male,Black,Non-Hispanic,1.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
4d4,R05,Male,Black,Non-Hispanic,1,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
a4c,R05,Male,Black,Non-Hispanic,1,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,426555fb
bd4,R05,Female,White,Non-Hispanic,12,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
2c8,R05,Male,Black,Non-Hispanic,11.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
cd5,R07,Male,White,Non-Hispanic,9,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
d50,R05,Male,White,Non-Hispanic,9,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
08a,R05,Female,White,Hispanic,8.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
b5a,R07,Male,White,Non-Hispanic,8.25,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
084,R05,Male,White,Non-Hispanic,8,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
6cd,R05,Male,Black,Non-Hispanic,8,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
c67,R07,Male,Black,Non-Hispanic,8,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
f67,R05,Female,White,Non-Hispanic,7.75,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
5d0,R05,Male,White,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
791,R05,Male,White,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
87f,R05,Male,Black,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
f68,R07,Male,Black,Non-Hispanic,7.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
14e,R05,Female,Asian,Non-Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
357,R07,Male,White,Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
b60,R05,Male,Black,Non-Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
c30,R05,Male,Asian,Non-Hispanic,7,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
93b,R05,Male,White,Non-Hispanic,6.75,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
39b,R05,Male,White,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
456,R05,Male,Indigenous,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
4a2,R05,Male,White,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
773,R05,Male,Black,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
ef1,R05,Male,White,Non-Hispanic,6.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
018,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
249,R05,Female,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
342,R07,Female,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
410,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
4ed,R05,Male,Black,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
677,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
68e,R05,Female,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
94e,R05,Male,Black,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
b53,R05,Male,White,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
efc,R07,Female,Black,Non-Hispanic,6,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
17a,R05,Female,White,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
3fa,R07,Male,Black,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
480,R05,Male,White,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
aac,R07,Female,Black,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
f7a,R05,Female,Black,Non-Hispanic,5.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
9f5,R05,Male,White,Non-Hispanic,5.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
b35,R07,Female,Multiple Races,Non-Hispanic,5.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
0f8,R05,Male,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
60f,R05,Male,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
6b7,R05,Female,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
794,R05,Female,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
8d5,R07,Male,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
ab2,R05,Male,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
c72,R05,Male,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
d6b,R05,Male,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
dbb,R05,Female,Black,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
e17,R05,Female,White,Non-Hispanic,5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
331,R05,Male,Black,Non-Hispanic,4.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
763,R05,Female,White,Non-Hispanic,4.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
b16,R07,Male,White,Non-Hispanic,4.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
16b,R05,Female,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
307,R05,Female,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
687,R05,Male,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
93d,R05,Female,White,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
a0b,R05,Male,White,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
e16,R05,Male,Black,Non-Hispanic,4.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
332,R07,Male,Black,Non-Hispanic,4.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
065,R07,Male,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
3dc,R05,Female,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
645,R05,Female,Black,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
7ef,R05,Female,Black,Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
92f,R05,Male,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
edd,R07,Female,White,Non-Hispanic,4,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
8de,R05,Male,Black,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
a9b,R05,Male,White,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
cda,R05,Male,White,Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
e4a,R05,Male,White,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
ecb,R05,Male,White,Non-Hispanic,3.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
1f2,R07,Male,White,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
257,R05,Male,White,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
6fc,R05,Female,Indigenous,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
760,R05,Female,White,Non-Hispanic,3.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
554,R07,Female,White,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
5b3,R05,Male,White,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
850,R05,Male,Black,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
924,R05,Male,White,Non-Hispanic,3,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
eae,R05,Female,White,Non-Hispanic,2.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
1e0,R05,Female,Asian,Non-Hispanic,2.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
e3c,R05,Female,Black,Non-Hispanic,2.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
c07,R05,Male,White,Non-Hispanic,2.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
498,R05,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
52e,R05,Female,White,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
574,R07,Female,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
8c8,R05,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
969,R07,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
ca5,R05,Male,Black,Non-Hispanic,2,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
48f,R05,Male,White,Non-Hispanic,1.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
502,R05,Female,Black,Non-Hispanic,1.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
6bb,R07,Male,Black,Non-Hispanic,1.75,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
fc3,R05,Female,White,Non-Hispanic,1.5,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
734,R05,Male,Black,Non-Hispanic,1.25,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
4d4,R05,Male,Black,Non-Hispanic,1,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
a4c,R05,Male,Black,Non-Hispanic,1,FALSE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9d3faf67
bd4,R05,Female,White,Non-Hispanic,12,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,d0d5670d
2c8,R05,Male,Black,Non-Hispanic,11.5,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,d0d5670d
cd5,R07,Male,White,Non-Hispanic,9,TRUE,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,d0d5670d
