score_fingerprint,NA,Asian,Black,Multiple Races,Native American,White
6|2|6|9|1|2|6|4|4|8|1|3|6|5|8|7|5|10,63.375,63.36666666666667,59.657407407407405,64.46666666666667,62.666666666666664,62.459477124183
7|1|5|7|7|1|1|10|2|8|5|4|3|8|8|5|3|4,57.925,60.46666666666667,55.849074074074075,55.666666666666664,54.766666666666666,59.03202614379085
3|2|4|2|7|7|1|8|6|1|6|5|10|10|2|10|10|1,65.65,65.63333333333333,58.37592592592593,61.43333333333333,60.883333333333326,61.122875816993464
10|3|3|2|2|8|7|4|10|10|7|1|2|9|3|6|10|7,70.325,70.26666666666667,63.98425925925926,71.43333333333334,67.23333333333333,68.48169934640522
2|10|6|3|4|2|5|7|6|6|2|8|4|7|10|3|8|6,63.9,65.6,62.28333333333333,63.3,64.05,65.49019607843137
2|10|2|6|2|5|3|1|6|8|5|2|2|4|4|1|3|10,49.275,48.6,47.74629629629629,50.96666666666667,49.46666666666667,50.447712418300654
4|6|7|5|8|3|2|9|10|8|2|4|9|1|8|9|9|1,72.44999999999999,71.73333333333333,66.0212962962963,66.96666666666667,68.06666666666666,69.14967320261438
3|5|5|1|8|8|10|10|1|5|1|8|10|1|9|2|3|6,63.1,64.56666666666666,58.887962962962966,58.86666666666667,62.36666666666666,62.61437908496732
7|5|8|3|4|3|3|4|8|10|1|7|5|9|10|9|9|10,75.275,75.93333333333334,71.9175925925926,74.63333333333334,74.88333333333334,74.69934640522875
9|4|3|9|10|10|6|7|1|7|10|10|1|10|1|4|9|10,81.025,83.33333333333333,75.80648148148148,81.23333333333333,78.13333333333333,81.56601307189543
5|6|2|7|7|7|8|3|8|7|7|10|10|7|10|4|1|1,74.65,73.53333333333333,69.43148148148148,68.53333333333333,71.63333333333333,74.33267973856209
9|8|9|6|10|8|10|3|5|4|10|7|3|4|5|8|8|3,83.625,84.63333333333334,77.0925925925926,81.53333333333333,79.08333333333334,83.34444444444445
7|4|1|10|7|7|10|9|3|1|10|2|9|8|10|6|9|9,83.25,83.56666666666668,76.62037037037037,84.93333333333334,79.83333333333334,81.39934640522875
7|10|4|2|4|8|7|7|1|4|6|4|2|9|6|9|3|4,60.4,65.76666666666667,59.01481481481482,57.63333333333333,58.63333333333333,63.40522875816993
4|1|4|8|9|3|6|1|2|6|9|6|8|2|4|8|6|5,65.075,61.4,58.15555555555556,64.3,59.65,62.00588235294118
1|9|9|1|5|5|8|4|10|2|10|9|2|4|9|2|10|5,72.55,71.76666666666667,68.50185185185185,75.86666666666666,73.01666666666667,73.11830065359477
4|1|8|2|9|8|5|3|1|8|7|6|5|6|6|2|4|3,60.325,59.06666666666666,55.007407407407406,56.96666666666667,57.56666666666666,58.777124183006535
3|9|10|3|2|1|7|8|7|2|6|7|2|2|3|6|5|6,60.575,63.199999999999996,58.54907407407408,63.166666666666664,59.56666666666666,62.78496732026144
6|3|5|5|8|6|7|7|5|1|6|2|10|8|10|4|1|8,68.9,69.9,64.57037037037037,67.83333333333333,67.13333333333333,67.85424836601307
9|2|9|1|2|2|3|4|5|10|3|5|2|3|2|10|3|7,54.225,55.6,51.51759259259259,53.333333333333336,51.53333333333333,54.71111111111111
7|1|6|7|3|4|9|1|3|7|10|10|7|7|7|3|8|5,74.425,70.8,67.7287037037037,74.33333333333333,70.18333333333334,72.940522875817
10|1|6|6|8|4|6|2|5|1|4|3|10|8|8|4|2|4,65.15,64.7,59.50092592592593,61.03333333333333,60.88333333333333,62.82287581699347
5|3|6|5|9|4|9|5|5|8|1|4|2|3|1|2|2|10,56.7,58.766666666666666,53.24351851851852,58.266666666666666,56.06666666666666,56.90653594771242
2|8|8|4|10|7|5|9|5|9|4|6|9|7|3|5|9|2,76.225,76.2,69.14722222222223,70.4,70.95,73.44901960784314
9|5|3|4|10|6|9|5|7|4|9|3|8|2|5|7|5|9,74.925,74.2,68.52037037037037,74.93333333333334,70.18333333333334,73.16993464052287
2|8|7|5|7|5|10|6|4|3|4|10|10|10|4|6|3|5,73.35,75.2,68.85555555555555,70.4,70.7,73.38039215686274
8|7|9|2|5|3|4|8|9|2|10|3|6|9|3|1|6|1,67.525,67.8,62.24629629629629,65.26666666666667,61.21666666666667,66.9888888888889
1|1|1|10|8|8|10|7|6|10|10|1|9|2|10|5|3|9,75.975,73.16666666666666,69.03148148148148,77.93333333333334,74.28333333333333,73.32287581699346
10|5|10|10|6|6|10|8|4|4|1|8|8|3|8|5|10|10,88.75,90.16666666666666,82.2037037037037,87.33333333333333,86.83333333333333,87.16993464052287
2|1|4|9|1|7|4|1|5|10|5|9|4|1|1|8|2|5,55.675,54.13333333333333,51.02037037037037,54.333333333333336,55.18333333333334,54.60718954248366
9|10|3|5|8|9|6|10|2|1|1|8|4|1|8|7|8|3,67.55,72.7,64.32592592592593,61.43333333333333,66.18333333333334,68.66013071895425
7|4|10|8|2|4|3|7|6|1|1|1|2|8|8|10|10|7,68.625,72.4,65.06481481481482,69.93333333333334,69.08333333333334,67.71307189542483
9|7|1|6|6|1|2|1|4|8|5|6|1|8|8|9|1|6,54.85,57.266666666666666,54.86018518518519,52.666666666666664,52.61666666666667,58.047712418300655
8|1|7|3|10|7|4|6|8|7|10|6|2|8|10|2|3|3,71.125,71.93333333333334,67.02314814814815,69.23333333333333,69.33333333333334,71.55816993464052
10|1|3|10|3|5|1|7|2|10|6|1|10|10|3|6|2|1,62.65,62.03333333333333,56.47314814814815,55.03333333333333,54.63333333333333,60.33267973856209
6|1|2|4|8|9|8|5|2|8|7|9|10|9|7|10|6|10,79.475,79,73.26296296296296,77.76666666666667,76.86666666666667,77.38496732026144
6|5|10|1|4|8|1|3|3|1|3|10|10|8|6|2|7|7,65.95,64.96666666666667,61.20648148148148,61.233333333333334,64.48333333333333,63.866013071895424
10|2|8|2|1|3|5|5|2|5|6|4|6|4|7|9|4|10,61.925,62.4,58.71018518518519,62.56666666666667,59.266666666666666,62.01830065359477
5|10|7|4|10|2|10|9|7|1|10|8|4|4|5|4|7|2,74.5,76.5,70.06481481481481,74.33333333333333,69.83333333333333,75.91503267973856
10|5|10|3|5|10|2|8|3|6|7|2|9|1|7|7|5|2,71,70.66666666666667,64.43055555555556,63.5,65.5,68.58823529411765
7|4|5|1|8|8|4|10|10|6|3|4|2|4|10|7|7|4,68.375,71.89999999999999,64.69444444444444,66.1,68.75,68.14117647058823
8|5|10|6|7|10|7|6|1|5|6|8|9|10|2|6|10|2,83.225,83.56666666666666,74.79074074074074,76.86666666666666,77.11666666666666,80.2124183006536
5|2|4|7|3|8|5|4|8|3|10|7|10|10|10|4|8|4,79.05,76.23333333333333,71.95555555555555,77.4,76.6,76.09019607843138
6|1|2|7|9|2|5|6|5|8|5|3|1|7|4|5|4|3,55.35,57.166666666666664,51.73518518518519,54.766666666666666,52.11666666666667,55.41437908496732
7|1|8|7|3|6|1|3|9|5|7|7|10|1|7|9|4|1,70.175,67.13333333333333,63.21018518518518,64.66666666666667,66.26666666666667,66.7673202614379
8|1|6|9|10|8|2|7|2|3|9|2|1|8|2|5|9|3,67.25,68.93333333333334,61.041666666666664,65.9,63,65.3
2|6|2|9|4|6|5|9|6|9|9|4|10|1|2|9|10|1,73.05,70.13333333333333,64.44166666666666,69.5,66.1,69.15294117647059
8|9|7|4|6|1|6|10|7|1|1|3|10|5|3|5|8|8,69.7,71.53333333333333,64.74814814814815,67.83333333333333,64.73333333333333,68.22287581699347
4|3|7|1|3|7|7|5|2|4|2|5|4|8|10|9|3|2,55.875,59.3,53.4537037037037,53.03333333333333,56.58333333333333,56.4718954248366
1|9|3|1|10|1|6|5|9|7|6|1|7|3|2|4|1|9,54.8,54.1,51.56203703703704,56.03333333333333,51.18333333333334,54.477777777777774
4|3|4|8|3|10|6|9|1|1|2|9|6|10|3|10|10|3,69.875,73.8,64.30092592592592,66.53333333333333,69.08333333333334,68.2169934640523
10|5|3|7|4|4|7|9|10|6|9|3|4|7|4|5|9|3,75.5,76.33333333333333,69.26388888888889,75,70,74.72549019607843
10|6|9|3|10|6|10|7|3|8|5|10|8|9|9|6|2|5,83.025,85.7,78.73240740740741,77.36666666666666,78.96666666666667,84.29673202614379
8|2|7|2|2|6|5|5|10|10|8|2|2|6|7|2|4|1,61.65,61.13333333333333,56.84814814814815,59.93333333333333,58.88333333333333,61.2797385620915
9|8|4|8|10|2|6|4|7|2|3|5|6|1|10|10|3|5,69.125,71.3,65.97685185185185,65.86666666666666,66.41666666666667,69.66143790849674
1|3|10|7|2|5|5|3|10|4|9|2|4|9|8|2|7|3,68.525,66.56666666666666,62.87592592592593,70.83333333333333,67.88333333333333,66.55032679738562
8|2|4|2|3|5|8|4|2|6|2|2|6|6|9|10|6|7,60.025000000000006,61.3,55.977777777777774,59.1,58.3,58.93333333333333
3|5|9|4|2|5|2|8|1|1|10|9|9|3|9|7|2|9,65.725,65.56666666666666,63.32314814814815,65.53333333333333,64.78333333333333,66.58169934640523
4|1|1|5|1|7|9|2|9|1|10|7|5|2|1|1|1|4,52.324999999999996,50.56666666666667,47.09537037037037,54.13333333333333,51.233333333333334,51.58758169934641
1|1|8|7|7|9|1|5|9|10|10|9|2|9|5|9|1|2,71.6,72.5,67.42037037037036,69.43333333333334,71.53333333333333,71.56797385620915
9|6|4|5|5|10|5|1|5|5|2|1|2|2|2|2|10|2,56.075,55.9,49.57685185185185,51.96666666666667,53.06666666666666,53.34575163398693
4|4|9|5|7|2|6|8|8|3|9|5|6|8|7|4|3|2,69.525,70.33333333333333,65.15833333333333,68.9,66.05,69.55294117647058
6|7|1|2|9|10|3|5|1|4|8|6|7|8|6|10|5|3,64.5,66.03333333333333,60.23148148148148,58.63333333333333,60.58333333333333,63.91699346405229
5|1|2|3|10|6|9|8|2|8|10|9|2|6|8|7|3|2,65.15,67.36666666666666,61.59351851851852,63.86666666666667,62.71666666666667,66.75751633986928
1|9|5|8|7|8|9|5|8|7|5|3|10|3|8|1|9|6,78.67500000000001,75.76666666666667,71.03425925925926,77.03333333333333,76.18333333333334,75.30130718954248
8|4|9|10|8|2|7|7|5|10|1|7|6|4|5|4|2|9,73.95,75.53333333333333,69.91481481481482,71.83333333333333,71.23333333333333,74.28169934640523
6|8|5|3|10|10|8|8|9|3|10|10|4|1|9|1|10|3,81.525,81.56666666666666,75.39444444444445,79.5,79.8,81.13529411764706
5|9|5|1|2|1|1|4|9|4|5|8|1|1|10|10|2|7,53.099999999999994,55.46666666666667,54.14259259259259,53.63333333333333,54.53333333333333,56.6640522875817
9|10|5|9|7|9|9|10|8|1|2|5|4|5|9|4|8|3,80.3,85.2,75.61759259259259,76.43333333333334,79.43333333333334,80.82679738562092
9|10|5|10|5|10|5|8|2|7|10|4|7|10|10|10|1|10,85.925,89.2,83.06203703703704,82.93333333333334,83.43333333333334,88.13071895424837
10|9|5|6|5|6|5|1|9|9|7|6|7|8|9|7|3|6,78.6,78.13333333333334,74.38333333333333,74.3,74.94999999999999,78.99411764705883
9|4|2|4|6|6|1|5|7|3|5|3|8|4|10|9|2|4,60.9,61.666666666666664,57.325,55.9,58.3,59.95490196078431
4|9|6|10|1|8|3|3|6|9|10|10|9|9|6|9|10|4,86.9,84.16666666666667,80.08888888888889,82.9,82.55000000000001,85.10196078431373
8|8|10|10|1|9|1|8|7|5|6|7|9|2|5|6|7|7,82.425,82,76.3212962962963,77.96666666666667,79.51666666666667,80.74967320261437
5|6|6|9|1|10|10|5|4|8|5|7|2|2|10|9|6|3,73.65,75.7,69.27407407407408,71.86666666666666,74.46666666666667,74.49281045751634
10|8|2|8|1|6|9|1|4|3|10|9|8|10|4|5|6|7,75.95,75.1,70.69722222222222,74.6,71.15,76.28235294117647
4|5|5|8|8|4|3|9|2|7|3|1|2|6|5|1|5|8,56.8,59.2,54.18703703703704,56.93333333333333,55.43333333333333,57.1797385620915
1|5|8|1|1|9|7|8|3|8|6|4|2|7|8|5|9|3,63.075,64.46666666666667,58.92407407407408,63.06666666666667,63.31666666666666,62.88888888888889
7|3|10|9|9|4|3|8|2|10|2|1|2|8|10|3|10|7,73.35000000000001,74.86666666666666,68.82314814814815,72.23333333333333,71.28333333333333,72.18758169934641
9|3|3|5|6|10|3|4|7|10|5|5|6|9|3|8|6|1,70,70.3,63.28703703703704,63.03333333333333,65.33333333333334,67.54052287581699
2|7|9|2|9|8|5|6|2|9|10|10|6|1|9|5|7|3,73.95,72.16666666666667,68.71111111111111,70.2,70.9,73.46274509803922
8|9|10|4|3|10|10|1|2|2|5|8|8|8|2|7|6|1,73.325,74.36666666666666,66.78518518518518,67.16666666666667,68.81666666666666,72.2359477124183
3|8|8|3|1|5|1|7|7|4|5|5|3|5|7|2|6|2,55.8,56.83333333333333,53.339814814814815,53.63333333333333,55.18333333333334,56.48169934640523
10|10|2|10|3|3|10|4|10|7|9|9|7|5|1|7|10|1,83.125,81.83333333333333,75.4675925925926,79.83333333333333,75.08333333333333,82.25816993464052
5|8|2|6|5|4|1|4|8|3|7|6|1|4|10|3|1|8,55.325,57.1,55.53055555555556,56.1,56.900000000000006,58.40980392156863
10|2|6|9|1|1|9|3|5|1|9|6|3|4|9|7|10|9,73.675,73.06666666666666,68.92314814814814,78.73333333333333,71.68333333333334,73.58366013071895
8|2|3|4|8|4|9|6|1|6|6|7|3|7|7|9|6|8,67.275,69.8,63.825,68.1,65.05,68.12941176470588
10|10|6|4|8|1|9|9|5|2|6|10|6|10|6|3|10|7,81.125,83.83333333333334,77.21296296296296,80.16666666666667,76.16666666666667,82.6732026143791
1|4|8|10|3|3|6|3|1|8|4|2|6|9|10|4|8|3,64.8,63.266666666666666,59.73796296296296,63.86666666666667,62.516666666666666,62.981045751633985
2|4|2|2|9|6|6|2|8|9|3|2|1|2|3|4|8|2,51,50.233333333333334,45.611111111111114,50.1,49.25,48.70980392156863
8|2|7|9|10|4|5|5|4|5|5|7|3|10|9|6|2|1,69.39999999999999,72.46666666666667,66.01018518518518,65.26666666666667,66.96666666666667,70.33202614379086
8|5|9|8|3|5|6|2|5|5|5|2|9|4|7|5|10|7,75.725,72.73333333333333,68.23518518518519,74.36666666666666,71.36666666666666,72.07516339869281
3|5|5|2|3|7|10|9|5|8|6|6|9|1|9|10|8|2,72.725,72.23333333333333,66.24907407407407,69.86666666666666,69.61666666666666,70.859477124183
5|2|6|4|7|4|3|8|3|4|10|8|5|1|3|3|10|1,62.175,60.233333333333334,55.7287037037037,60.233333333333334,56.68333333333334,60.122875816993464
8|1|10|8|2|7|3|7|10|6|4|2|10|7|1|3|9|9,78.875,76.76666666666667,70.18055555555556,77.9,75,73.80980392156863
-3|-1|-3|2|1|0|0|3|-1|3|3|-3|1|1|-3|1|-1|1,-0.3750000000000001,-0.9333333333333333,-1.1666666666666667,1.0999999999999999,-2,-1.0254901960784315
0|-2|-3|1|-1|0|2|-3|-2|-3|-2|1|-2|1|-2|-1|-3|-2,-13.925,-12.566666666666666,-12.761111111111111,-13.9,-12.600000000000001,-12.962745098039216
1|0|-3|1|-1|2|2|-2|0|-2|-1|-3|-3|-1|1|3|1|-3,-5.3,-3.8666666666666667,-5.3351851851851855,-5.266666666666667,-4.266666666666667,-5.310457516339869
1|1|3|2|0|-3|-1|-3|2|2|-3|3|0|1|2|-3|1|-1,4.35,3.1666666666666665,4.499074074074074,2.7666666666666666,4.366666666666667,4.49281045751634
-2|1|0|3|-3|-3|-1|2|0|-3|1|0|0|2|3|3|-3|-3,-2.75,-0.9,-0.625,-2.6,-2,-0.8176470588235294
-1|2|-1|1|2|2|-1|0|-2|-3|-3|0|3|-1|3|1|0|3,2.225,2.7666666666666666,2.6888888888888887,1,3.95,1.6784313725490196
2|3|-1|-2|-1|1|-2|-3|0|0|3|-2|-2|2|-1|3|1|3,0.3500000000000001,0.36666666666666675,1.2444444444444445,1.9000000000000001,-0.04999999999999982,1.0960784313725491
0|-3|0|-1|3|0|-1|0|2|1|-3|2|2|-1|3|1|2|-1,4.675,3.7333333333333334,3.4231481481481483,2.7333333333333334,5.183333333333334,2.779738562091503
-1|0|-2|1|0|-1|1|-1|2|-2|-2|-2|-3|3|-3|-1|2|-2,-6.575,-5.3,-6.604629629629629,-5.066666666666666,-6.066666666666666,-6.8202614379084965
-2|-3|2|-3|-1|3|0|2|-2|-2|2|-2|2|2|-1|-3|-2|2,-3.475,-3.8666666666666667,-3.9296296296296296,-2.066666666666667,-2.616666666666667,-4.347712418300654
-1|-3|1|3|-3|3|-2|-2|-3|-1|-1|-2|2|-1|-1|3|1|1,-1.525,-2.9,-3.098148148148148,-1.8333333333333335,-0.8833333333333335,-3.981699346405229
-1|1|-2|1|-1|0|-3|3|-1|2|1|1|-2|-1|0|-2|2|-1,-3.1750000000000003,-3.1,-2.4092592592592594,-3.533333333333333,-3.1833333333333336,-2.369934640522876
2|-1|-2|3|0|1|0|-3|3|0|0|3|1|3|1|0|-3|-1,5.5,5.3999999999999995,5.430555555555555,3.6,6,5.827450980392157
0|-2|3|0|3|0|3|2|-1|0|-1|3|3|-3|3|3|-3|3,10.575,11.266666666666667,10.46111111111111,10.6,11.649999999999999,10.752941176470589
-1|-1|-2|0|-3|-2|-1|-1|3|1|1|-1|-2|1|-1|-2|-2|-1,-9.475,-10,-8.387962962962963,-7.766666666666667,-8.866666666666667,-8.669281045751633
3|-3|3|1|1|-1|-1|1|-2|3|-3|0|2|-2|2|0|-3|3,2.65,2.6333333333333333,2.908333333333333,1.1,2.55,2.511764705882353
1|0|-3|0|0|-1|-2|3|-1|0|1|-3|3|-3|1|-1|2|3,-0.6749999999999999,-2.3666666666666667,-1.3305555555555555,-0.09999999999999998,-2.35,-1.9215686274509804
-2|-2|-2|1|-1|1|-1|0|-2|-2|1|3|3|0|-3|0|0|-3,-4.325,-5.666666666666667,-5.646296296296296,-6.366666666666667,-5.566666666666666,-5.675163398692811
2|3|3|2|2|2|3|0|2|3|3|-1|1|-2|0|-2|0|0,16.35,15.033333333333333,14.202777777777778,15.4,14.2,16.007843137254902
2|2|2|-3|-1|-2|3|-2|-3|-2|3|-2|-3|0|-2|3|3|-3,-3.3,-2.833333333333333,-3.5296296296296297,-1.9666666666666666,-6.016666666666667,-2.612418300653595
-3|3|-3|-3|2|1|3|-2|3|-3|2|-1|0|0|-2|0|2|2,0.09999999999999998,-0.6333333333333333,-0.5333333333333333,3.4,0.7,-0.5215686274509804
1|0|-3|-1|3|-1|2|-2|1|-2|3|2|1|0|-2|1|0|0,2.075,1.1333333333333333,1.2342592592592594,2.7333333333333334,0.2333333333333334,1.84640522875817
1|0|0|0|1|-3|-1|0|0|2|0|2|1|1|2|-3|3|-2,3.075,1.2999999999999998,2.4657407407407406,1.5666666666666667,1.0666666666666667,2.6633986928104574
-1|3|0|-2|2|-1|3|3|3|-3|1|2|0|-1|3|1|0|0,7.375,9.133333333333333,8.291666666666666,8.7,8.5,8.909803921568628
2|2|2|1|-1|0|-3|-2|2|-3|3|0|1|3|2|0|1|-2,7.075,6.166666666666667,6.725,5.7,5.9,6.894117647058824
-0.0779705429449677|0.206287477165461|-0.676722777541727|0.9685039059259|-0.168841722887009|0.190095941070467|0.954113308340311|0.314365986734629|0.225708395708352|0.698019789531827|-0.524828579742461|-0.59948527161032|0.350438112858683|0.512296420522034|-0.00517131015658379|-0.288331674877554|-0.77640500664711|-0.0516802631318569,0.7185711583704688,0.9795351144857706,0.6542369184536962,0.5141147651709617,0.7095346182119102,0.804914442016104
0.191216807812452|-0.033422808162868|-0.0598557740449905|0.315555446781218|0.976226518861949|0.278214944060892|0.882126782089472|-0.0982455410994589|-0.337220314890146|-0.611366169061512|-0.36592612368986|0.717117628548294|-0.38495072722435|-0.613665489479899|-0.43424762506038|-0.19728574808687|-0.141388031188399|0.357992074452341,0.4763106706086547,0.8715591750883808,0.4740752027417464,0.6388794782416274,0.7536425258343419,0.639998978986618
0.340072736144066|-0.0432713865302503|0.850561763625592|-0.142323019914329|-0.658720070961863|0.904256375972182|0.992143803276122|0.398859270382673|-0.511739144101739|0.0876608453691006|-0.553025017492473|0.877444616984576|0.737500850111246|-0.255885796621442|-0.225319617427886|-0.240801002830267|0.978013690561056|0.702554098796099,3.360052687814459,3.27026217795598,2.793438847788989,3.241448586496214,3.46061549630637,3.035064262887341
-0.0778937293216586|0.0624172403477132|0.259670668281615|0.481594147160649|0.138376785907894|0.973119783680886|-0.253425381612033|0.736032769549638|-0.199885652866215|-0.574471655767411|0.662565931212157|-0.372886973433197|0.0349637516774237|-0.186949091032147|-0.557398717850447|-0.733007811941206|-0.874598906375468|-0.796928860247135,-0.3641099064494483,-0.11382653831193842,-0.4847226082205048,-0.9150474017485977,-0.5048618872417137,-0.311057690271706
0.100928132422268|-0.296258437912911|0.456290014553815|0.961918378248811|-0.0692965416237712|0.0857004765421152|0.907339214812964|-0.172017368022352|0.55269084032625|-0.70848589995876|0.821742126718163|-0.229852889664471|0.976971921976656|0.497353179380298|-0.980915921274573|-0.50721223698929|-0.176781024318188|0.431964936666191,3.008587544970214,2.5505672581493855,2.2612079338161966,3.5004873959037166,2.5095177424993986,2.5483099862957506
-0.331189524848014|-0.6829395275563|0.0440160823054612|0.0850477260537446|-0.301993228495121|-0.647406734991819|0.759468670934439|0.185310375411063|-0.412044218275696|-0.124877797905356|-0.315501354169101|-0.658663883339614|0.111999220214784|-0.753979021683335|-0.178564660251141|-0.29822315601632|0.0386239704675972|-0.91719206655398,-2.401441491267178,-2.603094391043608,-2.6608288321639755,-2.29903138189887,-2.712810304675562,-2.6618318506766085
0.588944037910551|0.958488154225051|-0.74350557802245|-0.675694038625807|0.17133520450443|-0.0745373866520822|0.340883572585881|0.923842230346054|0.661854862701148|0.327466398477554|0.387806435115635|0.482859488110989|0.259507793467492|0.0391379403881729|0.127096802461892|-0.577527173329145|0.556803291663527|0.709786390885711,2.344239119219128,2.406178706434245,2.3858290007902756,2.4502230981209627,2.0655207615190494,2.6188109567793685
-0.488291279878467|0.426605984102935|0.69187678815797|-0.6080616931431|-0.232070300728083|0.711245150305331|0.650537534151226|0.0822503035888076|0.931489918846637|0.692210514098406|-0.132889552973211|-0.96017719199881|-0.335168222431093|-0.442365093156695|-0.602237837389112|0.58019089885056|-0.942177236545831|0.0460351747460663,-0.03541285884566607,0.2878483550002177,-0.04364252868798323,0.1583863096622129,0.29391163427693145,0.03299351172899106
